"filename", "language", "YAML", "Markdown", "Go", "JavaScript", "XML", "PostCSS", "HTML", "JSON", "Docker", "TypeScript", "MS SQL", "TypeScript JSX", "Properties", "JSON with Comments", "comment", "blank", "total"
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/missions/MissionsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/missions/NewProposalPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 5, 94
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/projections/ProjectionsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/workbench/WorkbenchPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/tau/Git/Hacks/auth-scope/frontend/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/client.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 37, 238
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/generated.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2337, 0, 0, 0, 0, 66, 2, 2405
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 27, 284
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/auth/SessionProvider.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/auth/SessionProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 8, 60
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/AsyncState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/AuthorityView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/ConfirmDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 5, 68
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 2, 45
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/JsonBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/LineageGraph.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/PageHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
